Dizi Adı,Senarist,Yönetmen,Başrol,Ülke,Kanal,Durumu,Konu,Sezon Sayısı,Bölüm Sayısı,Yapımcı,Yayın tarihi,Platform,Tema Müziği Bestecisi
"Organize İşler, Link",Yılmaz Erdoğan,Yılmaz Erdoğan,Cem YılmazAndy GarciaRussell Crowe,Türkiye,GAİN,Yakında,"Organize İşler, Yılmaz Erdoğan tarafından GAİN için oluşturulan ve yakında dijital platformda yerini alacak aksiyon türündeki Türk mini internet dizisidir.[1] Başrollerinde Cem Yılmaz, Andy Garcia ve Russell Crowe gibi oyuncular yer almaktadır.[2]",,,,,,
"Adım Farah, Link",Deniz Dargı (1-18)Cem Görgeç (1-18)Cenk Boğatur (1-18)Serdar Soydan (17-18)Toprak Karaoğlu (19-27)Seda Çalışır Karaoğlu (19-27),Recai Karagöz (1-21)Adem Demir (22-27),Demet ÖzdemirEngin Akyürek,Türkiye,FOX,Sona erdi,"Adım Farah, O3 Medya imzalı, ilk bölümü 1 Mart 2023 tarihinde yayınlanan,[1] yönetmenliğini Recai Karagöz ve Adem Demir'in üstlendiği, senaryosunu Deniz Dargı, Cem Görgeç, Cenk Boğatur, Toprak Karaoğlu ve Seda Çalışır Karaoğlu'nun kaleme aldığı dram türündeki Türk televizyon dizisidir.[2] 2017 yapımı Arjantin dizisi olan La Chica que Limpia'den uyarlanmıştır.[3] Başrollerini Demet Özdemir ve Engin Akyürek paylaşmaktadır.[4] 2 sezondan oluşan dizi, 30 Aralık 2023 tarihinde yayımlanan 27. bölümü ile final yaparak sona ermiştir.",2,27,Saner Ayar,1 Mart 2023 - 30 Aralık 2023,,
"Aile, Link",Hakan Bonomo (1-)Ali Kobanbay (14-),Ahmet Katıksız (1-15)Gökçen Usta (16-),Kıvanç TatlıtuğSerenay Sarıkaya,Türkiye,Show TV,Ara verdi,"Aile, Ay Yapım'ın yapımını üstlendiği, ilk bölümü 7 Mart 2023 tarihinde yayınlanan, yönetmenliğini Ahmet Katıksız ve Gökçen Usta'nın yaptığı, senaryosunu Hakan Bonomo ve Ali Kobanbay ikilisinin kaleme aldığı dram türündeki Türk televizyon dizisidir. Dizinin başrollerinde Kıvanç Tatlıtuğ ve Serenay Sarıkaya yer almaktadır.[1]",2,26,Kerem Çatay,7 Mart 2023 - günümüz,,
"Akif, Link",Uğur UzunokNurullah SevimliTacettin Girgin,Selahattin Sancaklı,Fikret KuşkanÖzge Borak,Türkiye,,Yayımlandı,"Akif, Kirli Kedi tarafından yapımı, Selahattin Sancaklı tarafından yönetmenliği üstlenilen, senaryosunu Uğur Uzunok, Nurullah Sevimli, Tacettin Girgin'in kaleme aldığı, başrollerini Fikret Kuşkan ve Özge Borak'ın paylaştığı tarihî türdeki Türk yapımı mini internet dizisidir.[1][2] Dizi, 7 Mayıs 2023 tarihinde 13 bölüm olarak tabii platformunda yayımlanmıştır.",1,13,Raif İnan,7 Mayıs 2023,tabii,
"Al Sancak, Link",Atilla EnginMehmet ArıSelman Kılıçaslan,Can Emre (1-3)Günay Günaydın (4-19),Uğur GüneşGülsim Ali,Türkiye,TRT 1,Yayından kaldırıldı,"Al Sancak; Bozdağ Film imzalı, ilk bölümü 19 Ocak 2023[1][2] tarihinde yayınlanan, yönetmenliğini ilk olarak Can Emre'nin daha sonra ise Günay Günaydın'ın üstlendiği, senaryosunu Atilla Engin, Mehmet Arı ve Selman Kılıçaslan’ın kaleme aldığı aksiyon, askeri ve dram türündeki Türk televizyon dizisidir. Başrollerini Uğur Güneş ve Gülsim Ali paylaşmaktadır.[3] Dizi, 15 Haziran 2023 tarihinde yayımlanan 19. bölümüyle sezon finali yaparak yayından kaldırıldı.",1,19,Mehmet Bozdağ,19 Ocak 2023 - 15 Haziran 2023,,
"Ateş Kuşları, Link",Ayşe Ferda EryılmazNehir Erdem,Benal Tairi (1-2)Gökhan Ayiz (3-9)Yıldız Aşanboğa (7-25)Bülent İşbilen (10-),İlayda AlişanHande SoralGörkem SevindikBurak Tozkoparan,Türkiye,atv,Ara verdi,"Ateş Kuşları, Bozdağ Film imzalı, ilk bölümü 13 Ocak 2023 tarihinde yayımlanan, yönetmenliğini Benal Tairi, Gökhan Ayiz, Yıldız Aşanboğa ve Bülent İşbilen'in üstlendiği, senaryosunu Ayşe Ferda Eryılmaz ve Nehir Erdem'in kaleme aldığı dram türündeki Türk televizyon dizisidir. Başrollerini İlayda Alişan, Hande Soral, Görkem Sevindik ve Burak Tozkoparan paylaşmaktadır.[1][2][3]",2,36,Mehmet Bozdağ,13 Ocak 2023 - günümüz,,
"Bambaşka Biri, Link",Ethem Özışık,Neslihan Yeşilyurt(1-10)Özlem Günhan (11-)Gül Sarıaltın (11-),Burak DenizHande Erçel,Türkiye,FOX,Devam ediyor,"Bambaşka Biri, Tims&B Productions imzalı, ilk bölümü 11 Eylül 2023 tarihinde yayımlanan, yönetmenliğini ilk olarak Neslihan Yeşilyurt'un daha sonra ise Özlem Günhan ve Gül Sarıaltın'ın üstlendiği, senaryosunu Ethem Özışık'ın kaleme aldığı dram, polisiye ve romantik gerilim türündeki Türk televizyon dizisidir. Başrollerini Burak Deniz ile Hande Erçel paylaşmaktadır.[1][2][3] Dizi, 13 Ocak 2024 tarihinde yayımlanacak olan 16. bölümü ile final yaparak sona erecektir.",1,14,Timur SavcıBurak Sağyaşar,11 Eylül 2023 - 13 Ocak 2024,,
"Başım Belada, Link",Hasan Burak Kayacı (1-5)Kemal Çelik (2-5)Aybars Bora Kahyaoğlu (2)Ahmet Özdemir (3-5),Hatice Memiş (1)Ulaş Cihan Şimşek (1-5)Hakan Arslan (2-5),KeremcemMerih ÖztürkKaan Taşaner,Türkiye,atv,Sona erdi,"Başım Belada, Baba Yapım imzalı, ilk bölümü 5 Mart 2023 tarihinde yayınlanan,[1] yönetmenliğini Hatice Memiş ve Ulaş Cihan Şimşek'in üstlendiği, senaryosunu Hasan Burak Kayacı'nın yazdığı, başrollerini Keremcem, Merih Öztürk ve Kaan Taşaner'in paylaştığı dram ve aile türündeki Türk televizyon dizisidir. Dizi, 2 Nisan 2023 tarihinde yayımlanan 5. bölümüyle final yaparak sona ermiştir.[2]",1,5,,5 Mart 2023 - 2 Nisan 2023,,
"Benim Güzel Ailem, Link",Ayça Mutlugil (1)Nuray Uslu (1)Baykut Badem (1-22),Sadullah Celen (1-12)Levent Türkan (13-22),Erdal ÖzyağcılarOnur BulduMelis Babadağ,Türkiye,TRT 1,Sona erdi,"Benim Güzel Ailem, Fabrika Yapım imzalı, ilk bölümü 21 Haziran 2023 tarihinde yayımlanan, yönetmenliğini Sadullah Celen'in üstlendiği, senaryosunu Baykut Badem'in kaleme aldığı aile ve romantik komedi türündeki Türk televizyon dizisidir.[1][2] Güney Kore dizisi olan Once Again'den uyarlanmıştır.[3] Dizi, 6 Aralık 2023 tarihinde yayımlanan 22. bölümü ile final yaparak sona ermiştir.[4]",1,22,Öner ArslanelRodi Kayım,21 Haziran 2023 - 6 Aralık 2023,,
"Bir Derdim Var, Link",Yekta Torun (1-6)Deniz Gürlek (2-6)Duygu Ertekin (3-6),Burak MüjdeciÖzkan Say,Birce AkalayMert Fırat,Türkiye,Kanal D,Sona erdi,"Bir Derdim Var, Ay Yapım ve AyNA Yapım imzalı, ilk bölümü 9 Kasım 2023 tarihinde yayımlanan, yönetmenliğini Burak Müjdeci ve Özkan Say'ın üstlendiği, senaryosunu Yekta Torun, Deniz Gürlek ve Duygu Ertekin'in kaleme aldığı dram türündeki Türk televizyon dizisidir.[1][2] 2019 yılı İtalyan yapımı olan Oltre la soglia dizisinden uyarlanmıştır. Başrollerini Birce Akalay ve Mert Fırat paylaşmaktadır.[3] Dizi, 14 Aralık 2023 tarihinde yayımlanacak olan 6. bölümü ile final yaparak sona ermiştir.[4]",1,6,Kerem ÇatayLale Eren,9 Kasım 2023 - 14 Aralık 2023,,
